label,article
<G>,No one in your family surfs? But I thought you said you lived in California before this.
<FU>,I guess I should buy my 14 year old a new iPhone since everyone at her school has one.
<DEP>,"Whatever happens by chance should be punished, because whatever happens by chance is a departure from law and all departures from law should be punished.

Identify the logical fallacy commited in this argument."
<IR>,"Oprah Winfrey's diet advice is useless;  she has had problems with maintaining her weight for most of her life, bouncing back and forth between being overweight and slender."
<IR>,The senator voted for the tax increase. It's not hard to understand why when you consider that he is a millionaire and has never had to worry about money.
<WCB>,"""Every time my sister uses hairspray, it is an extremely hot day"" is an example of"
<IR>,"My philosophy professor believes in ghosts and goes to séances. She’s an intelligent, educated, person, so ghosts must be real, and spiritualism must be true."
<IR>,There's no point listening to you. Everybody knows you're just a little do-gooder.
<IR>,"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
"
<G>,You have a friend who claims that cats like to go to windows and watch sunsets because that is what her cats does. What fallacy has she committed?
<WCB>,"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending."
<FE>,"If Mom didn't turn off the air conditioner, then clearly she must be too hot."
<IR>,"Calling Senator Warren ""Pocahontas,"" instead of debating her ideas on cancelling student loan debt is an example of:"
<FE>,Pay taxes or go to jail
<WCB>,"The Church used to claim that giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so clearly giving money to the Church is a scam!"
<G>,Some teenagers in our community recently vandalized the park downtown. Teenagers are so irresponsible and destructive.
<IR>,"“I really deserve an “A” on this paper, professor. Not only did I study during my grandmother’s funeral, but I also passed up the heart transplant surgery, even though that was the first matching donor in 3 years.”"
<IR>,"When your mom gets your phone bill and you have gone over the limit, you begin talking to her about how hard your math class is and how well you did on a test today."
<IR>,"So many people are speaking up about animal rights, but what they should first focus on is human rights."
<IR>,"One pill is good, two will be better"
<IR>,"Since Dwayne Johnson (aka The Rock) endorsed this protein powder, it must work wonders."
<IR>,I am only slightly obese.  That is perfectly normal here in America.
<FU>,"Vietnam War—America, love it or leave it"
<G>,Happy families make happy children.
<G>,French people are great at kissing.  Julie is French.  Get me a date!
<IR>,Skipping looking for a second opinion or evidence and just asking one doctor is what fallacy?
<IR>,"Charlie: Fast food is filled with salt, fat, and added sugars. We need better regulation of the industry.
Bob: That may be, but you’re such a hypocrite! I saw you devour a Triple-Baconator, super-sized fries, and 64 ounces of soda yesterday."
<FE>,"Either you decide that you can afford this stereo, or decide not to have music for a while"
<IR>,“The purpose of the Cadet Program is to prepare youth for Air Force Basic Military Training.” REPLY: “This is true because I heard it from the Wing Commander.”
<IR>,"Mining may destroy the environment, but how about the people whose jobs will be affected? Should we ban it?"
<IR>,"How can you tell me I should exercise to lose weight? All you do is sit behind a desk all day. I've never seen you do a lick of exercise.

Identify the logical fallacy commited in this argument."
<FU>,We now produce the best program in existence; four thousand businesses subscribe to our program.
<IR>,"""You should never break traffic laws.""
""Who are you to speak? You've gotten over fifteen speeding tickets!"" What is this?"
<IR>,"Hi, I’m Troy McClure. You might remember me from such films as The Day the Peacock Died. After filming scenes with feathered co-stars all day, there’s nothing I enjoy more than a bucket of Buster’s Chicken. It’s chickentastic!"
<G>,My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.
<G>,"""Even though it's only the first day, I can tell this is going to be a boring course."""
<G>,All required university courses are boring.
<IR>,We can't believe what he says out of that ugly mouth of his.
<IR>,Did the pollution you caused increase or decrease your profits?
<IR>,"Bill: ""I believe that Obamacare is wrong."" Dave: ""Of course you would say that, you're a Republican."" Bill: ""What about the arguments I gave to support my position?"" Dave: ""Those don't count. Like I said, you're a Republican, so you have to support the party line. Further, you are just a lapdog to the Republican incumbent so you can get a job , so I can't believe what you say."""
<IR>,Ms. Baker assigned me a lot of homework because she’s a witch!
<G>,Science fiction books are not worth the time it takes to read them.
<IR>,"Earl: Men don't cry
Jaquon: I cry all the time; it's healthy
Earl: Well, REAL men don't cry.
Jaquon: Earl, you should invest in some therapy.
Earl: Los hombres no lloran
Jaquon: lloro todo el tiempo; Es saludable
Earl: Bueno, los hombres REALES no lloran.
Jaquon: Earl, deberías invertir en terapia."
<G>,Saying that men don't ever ask for directions
<G>,"My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine. Therefore, smoking really can’t be that bad for you."
<IR>,“How can you argue your case for vegetarianism when you are enjoying your steak?”
<IR>,"Billy - ""Spanish is easy."" Bobby - ""Don't listen to Billy; he failed Spanish class last year. """
<RR>,"""All eighteen-year-olds have the right to vote because it's legal for them to vote."""
<FU>,Over one million students have purchased Brain Power.
<FU>,We surveyed all the customers in the store and they all agreed that staying open 24 hours would be a great idea. We need to put together a 24-hour schedule as soon as possible.
<DEP>,"Speaker 1: Did you torture the prisoner?
Speaker 2: No, we just held him under water for a while, and then did a mock hanging."
<FU>,Forty million people won't be wrong. Please buy the latest iPhone 12.
<IR>,"I don't see how you can believe he is not guilty of that crime. He's a terrible person and I can prove it. In fact, several years ago he was convicted of that same kind of crime."
<RR>,President Reagan was a great communicator because he had the knack of talking effectively to the people.
<IR>,"Jojo: All New Yorkers are tough
Charli: I get shoved in a locker every day and cry when I see bunnies
Jojo: Well, REAL New Yorkers are tough
Charli: What does toughness have to do with Geography?
Jojo: Todos los neoyorquinos son duros
Charli: Me empujan en un casillero todos los días y lloro cuando veo conejitos.
Jojo: Bueno, los verdaderos neoyorquinos son duros.
Charli: ¿Qué tiene que ver la dureza con la geografía?"
<FE>,Either you are with me or you are against me.
<IR>,"involves acceptance or rejection of concepts based on their source, not their merit"
<WCB>,"Every time my brother Bill accompanies me to Fenway Park, the Red Sox are sure to lose"
<WCB>,assumes that short-term deviations will correct themselves
<G>,"""The Omani hospital tested three patients from Abu Dhabi and found they had the disease. They immediately banned all people from Abu Dhabi from entering the hospital."""
<G>,You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.
<WCB>,I sneezed at the same time the power went off. My sneeze did something to make the power go off.
<WCB>,Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews
<G>,10 of the last 14 National Spelling Bee Champions have been Indian American. Indian Americans must all be great spellers!
<G>,"""We can't allow students to be paid for their grade because next thing you know they'll expect to be paid just for waking up in the morning."""
<IR>,"A logical fallacy that compares minor misdeeds with major atrocities, suggesting that both are equally immoral."
<IR>,"Primitive people believed in gods to explain natural phenomena. We have science, and are not primitive anymore. Therefore, there is no God."
<G>,All writing teachers must be awesome because Ms. Lopez is.
<G>,All women are bad drivers.
<IR>,"Your friend says, ""You can't prove that space aliens don't exist, so they must be real"". This is an example of which logical fallacy?"
<G>,"I have a red car. My car was in a wreck. Therefore, all red cars get wrecked."
<IR>,"I know you don't like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo."
<IR>,"We, the people, are going to work together to achieve justice, unity, and integrity."
<IR>,"""Russia has a terrible human rights record.""
""Well, the United States has done plenty of bad things, but we aren't a bad country, so Russia isn't, either."" -the President when confronted about Russia's human rights abuses."
<FE>,You either support Hillary Clinton for President or you don't believe in women's rights
<IR>,"I'm not surprised, frankly, that someone who gets lost in his own neighborhood would argue that New York has better pizza than Chicago."
<WCB>,Jimmy isn’t at school today. He must be on a family trip.
<IR>,"Billy - ""An apple is a vegetable.""  
Bobby - ""Don't listen to Billy; he failed Spanish class last year. """
<G>,"I hope the art mural at 34th and Habersham will not be allowed. You open the gate for one, you open it for all and you'll have it all over the city. A person wanting to paint on buildings is nothing more than upscale graffiti. More than likely it will go too far."
<IR>,Snarl Words are an example of...
<IR>,"Before I refute my opponent's argument, I would like to draw attention to the fact that he is sweating and clearly does not have much experience on the debate team."
<IR>,(Ignoring the Question): when a rebuttal doesn't address the question 
<G>,Why did the blonde cross the road?  Because she saw a shoe sale!
<FU>,Cheesecake Factory is the best because it is always crowded
<IR>,"We should offer movies on our company’s website. REPLY: No, we’ve built our company’s fortune by renting movies only through our stores."
<IR>,"""Good morning! Have you gotten over the grouchy mood you were in?"""
<G>,"In paragraph 43, Rodriguez accuses the middle-class ethnics of being guilty of which of the following logical fallacies?"
<WCB>,You know Jane Fonda’s exercise video’s must be worth the money. Look at the great shape she’s in.
<IR>,"Saying that because one finds something difficult to understand, therefore it's not true"
<G>,All of those who hate the Duterte administration are CPP-NPA supporters.
<IR>,Are you still a heavy drinker?
<RR>,"Quinoa is a delicious, plant-based source of protein because it tastes so darn good."
<FU>,Children should not listen to rap music. Everyone knows that.
<G>,"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms.
What fallacy did Sara use here?"
<DEP>,"All living beings come from other living beings.  Therefore, the first forms of life must have come from a living being.  That living being is God."
<IR>,"As a police officer who has worked for the city for 15 years, I have been a witness to distracted drivers and something needs to be done."
<G>,"If I don't take this AP class, then I won't do well on the exam.  If I don't do well on the AP exam, then I can't get into a good college.  If I can't get into a good college, then I'll never get a good job.  If I can't get a good job, then I'm going to have to live in my parents' basement forever.  Guess I'll sign up for the AP class."
<G>,I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.
<DEP>,"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion."
<G>,"That type of car is poorly made; a friend of mine has one, and it continually gives him trouble."
<IR>,uses irrelevant information or other techniques to distract from the argument at hand
<RR>,Smoking pot is against the law because it is wrong; I know it is wrong because it is against the law
<IR>,We have no evidence that the Illuminati ever existed. They must have been so clever they destroyed all the evidence
<G>,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?"
<IR>,"Aristotle thought women were inferior to men. Aristotle is one of the smartest men who ever lived, so he must be right about this."
<DEP>,"Why does the law state that you have to be 21 years old to drink?  Does it really make any difference if you are 20 years and 364 days old?  That is absurd.  Therefore, if a single day makes no difference, then a collection of 1095 single days won’t make any difference. Therefore, changing the drinking age to 18 will not make any difference."
<IR>,"Daughter: Mom, I want that doll!
Mom: Let's get home and I'll get you a popsicle!
Daughter: Ooh, popsicle!"
<RR>,"""I have a right to free speech so I can say what I want and you shouldn't try to stop me"" is an example of"
<WCB>,I’ve never had the flu because I take my vitamins everyday.
<IR>,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
"
<G>,"This new test seemed so promising, but the 3 studies that supported its validity turned out to have critical methodological flaws, so the test is probably not valid."
<FE>,"Student: You didn't teach us this; we never learned this.

Teacher: So, you're either lazy or unwilling to learn is that right?"
<RR>,Mr. Casal was very tired because he had no energy.
<G>,"If you allow one student to take an online course, soon
everyone will want to, and the schools will be empty.
Si permite que un estudiante tome un curso en línea, pronto todos querrán, y las escuelas estarán vacías."
<IR>,The is zero doubt that she has the condition. She scored high on two separate diagnostic tests for it and both tests have shown extremely high validity. That proves she has it.
<G>,"An NSA whistle-blower, William Binney, said last week that the agency’s surveillance activities put us on 'a slippery slope toward a totalitarian state'"
<G>,"A year is 365 days long, so I celebrate my birthday every 365 days."
<IR>,"Bill: ""I think that some people have psychic powers."" 
Jill: ""What is your proof?"" 
Bill: ""No one has been able to prove that people do not have psychic powers."""
<RR>,"A is true because B is true, and B is true because A is true."
<FU>,"Everyone I know is making fruit smoothies for quick, portable meals, so smoothies must be really good for you."
<IR>,"David: Can you believe that the president said, ""fat people are losers""?
Sam: Where did you hear this?
David: I read it in a headline on BrightBert News.
Sam: He actually said, ""People who say, 'fat people are losers' are not only cruel, but they are also wrong as well as being irrational.""
"
<G>,"Donald Trump Jr. Tweeted:
If I had a bowl of skittles and I told you just three would kill you. Would you take a handful? That's our Syrian refugee problem.
"
<IR>,You should give me a promotion. I have a lot of debt and am behind on my rent.
<WCB>,"The economy continues to grow as the number of ""likes"" on my Instagram account continue to increase. Clearly, the two are linked."
<FE>,People either like coffee or hate it.
<FU>,"In Act 1, Juror Seven says, ""There are still eleven of us who think he's guilty. You're alone."" His attempt to use numbers to persuade Eight is:"
<WCB>,"""Every time I go to sleep the sun goes down. Therefore, my sleeping causes the sun to set."""
<FE>,"Look, you are going to have to make up your mind. Either you decide that you can afford this stereo, or you decide you are going to do without music for a while."
<IR>,A little boy says that his friends should not go swimming in a river because his Mama said there were germs in the river.
<G>,The meteorologist predicted the wrong amount of rain for May. Obviously the meteorologist is unreliable.
<G>,"At a party you overhear a friend tell her spouse, “I had high blood pressure at the doctor’s office today; I really need to reduce the stress in my job.”"
<FE>,", when in fact more possibilities exist."
<IR>,"So you are saying your car is worth $20k.  I think it is worth $1, so let’s just compromise and say it is worth $10k. (Assuming the car is worth $20k)"
<RR>,"""She is the best candidate for president because she is better than the other candidates!"""
<G>,"""Freedom of choice is an important freedom. Students should have the freedom to choose between different types of soft drinks."""
<IR>,This is an example of what logic fallacy?
<RR>,Plagiarism is deceitful because it is dishonest.
<IR>,"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don’t you think skateboards should be banned?"
<G>,My car broke down yesterday. Cars are worthless.
<WCB>,"You got a cold two nights ago but last night you stayed up really late and now you are no longer sick, so it must be because you stayed up really late last night. What fallacy is being committed?"
<RR>,"Cell phones, high-tech devices that cause severe distractions and cyberbullying should be banned in schools."
<G>,Did you really vote for Donald as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?
<FU>,"This fast food chain claims that they've served five billion people, so they must have the best hamburger in town. Five billion people can't be wrong!"
<IR>,"You think labor unions are good? You know who else liked labor unions? Karl Marx, that’s who."
<WCB>,“The economy has improved greatly because of the new president.”
<FU>,Believing that taco bell is healthy for you because everyone else does.
<G>,"""Some tall people recently vandalized the park. Tall people are so irresponsible."""
<IR>,SM 5: Argument regarding insanity as a defense against execution
<FU>,If you were a true American you would support the rights of people to choose whatever vehicle they want.
<WCB>,Incorrectly thinking that one thing leads to another
<IR>,"She asserts that we need more military spending, but that is false, since she is only saying it because she is a Republican."
<IR>,"""He wouldn't make a good president because he looks like a sad muppet."""
<IR>,A real estate ad shows a happy family moving in to the home of their dreams.
<G>,A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.
<IR>,"Jon: ""Go easy on the scotch; you've had three shots already now."" Jeff: ""Oh sure, I'll put down my scotch when you put down that tequila. Lay off, man."""
<WCB>,"Mom: Watching TV that close will make you go blind, so move back!
Jonny: That is B.S., Mom. Sorry, I am not moving.
"
<WCB>,"Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began. The water fluoridation must have caused the student's test scores to drop."
<IR>,"Aaron Rodgers says you should get State Farm Insurance on your home, car, motorcycle, or trailer!"
<FU>,"The phrase, ""Almost everyone that was asked said that McDonalds is better than Burger King, so it must be true,"" represents which fallacy?"
<RR>,"Witchcraft remains our most urgent spiritual problem because it threatens
our very souls."
<IR>,"If we allow cadets to apply for encampment online, we’d save everyone lots of headaches. REPLY: No. We’ve always made cadets apply using a paper form."
<FE>,"Lisa is trying to raise money for her university's library. In her address to the board of trustees, she says, ""We must raise tuition to cover the cost of new books. Otherwise, the school library will close!""
Of what fallacy is this an example?"
<IR>,A mother tells her children not to leave the yard because there might be wild animals in the woods.
<RR>,"Violent video games cause teens to be violent, because violent teens play violent video games."
<IR>,"""If you believe that I am wrong, prove to me that I am."""
<G>,"Wife: Should we buy the house?
Husband: The Realtor didn’t say anything about any problems, so I am sure it is fine. Let’s get it!
"
<G>,"The use of laptops and other devices to replace books in the classroom would eventually lead to the downfall of printing and publishing companies, causing many people to be laid off from their jobs. As such, schools should stick to using printed books as study materials."
<FU>,"""All my friends are doing a low carb diet. That must be the only way to lose weight."" Mentioned Murtaza"
<IR>,"Kirk drew a picture of a fish and a human and with effusive disdain asked Richard if he really thought we were stupid enough to believe that a fish somehow turned into a human through just, like, random things happening over time."
<IR>,"Roommate A: We need to talk about your dog. He keeps peeing everywhere and making a mess.
Roommate B: It's not as big of a problem as your cat. The thing sheds all over my clothes!
The above is an example of"
<FU>,Old Major's speech claiming that ALL the animals will unite and revolt against the humans
<IR>,"Because you found something difficult to understand, or are unaware of how it works, you made out like it is probably not true."
<FU>,"Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that this must be the healthy way to eat, so she joins them."
<IR>,"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”  I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills."
<IR>,“We shouldn’t even bother to interview that job applicant. He has a beard.”
<IR>,"""Bernie Saunders wouldn't make a good president because he looks like a sad muppet."""
<G>,All engineers are introverts who would rather relate to computers than people. 
<FU>,What persuasive technique is being used in this photo?
<IR>,or group in order to discredit an idea with which the person or group is associated; distracts the reader from the real issue
<WCB>,"P1. A sedentary lifestyle contributes to obesity.
P2. People have become more sedentary in the last few decades.
C. Therefore, the rise in obesity can be fixed by people getting more exercise."
<IR>,"If you don’t give me a passing grade, I won’t get accepted to medical school. That will break my grandmother’s heart."
<IR>,What’s the point of living?  We’re all going to die anyway.
<RR>,"In her paper, Aida states ""Filthy, polluting hummers should be banned.""
Name that fallacy:"
<FU>,The Freehold Raceway Mall is the best mall because there are always so many cars there.
<IR>,"""Good source of Vitamin D""...*doesn't mention the terrible amounts of sugar."
<FE>,"“Either you love me, or you hate me.”"
<RR>,"I deserve to have a later curfew, so you should let me stay out until 10pm!"
<G>,All robin have red breasts
<FU>,Katie likes to read and would rather do that than play sports. Her friends make fun of her and tell her that reading is for nerds. Katie stops reading so much and starts to play sports more.
<G>,"I know four poor families. They are lazy drug addicts. Therefore, all poor people are lazy drug addicts."
<RR>,Why should we put people on trial when we know they are guilty?
<G>,"If I go to the bathroom, I will miss the notes, then I'll do poorly on a test, then I won't get into college, so I won't go to the bathroom."
<RR>,"The reason the firmament, a tent-like structure that kept the “waters above” from flooding the earth as described in the Bible, is no longer there today, is because it was destroyed during Noah’s flood.
"
