label,article
<G>,"""Annie must like Starbucks because all white girls like Starbucks."""
<G>,"""The two courses I took at UF were not very interesting. I don't think its a good university."""
<G>,"If you eat a good diet, you will never have a heart attack."
<G>,"MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne."
<G>,"All teachers drink coffee and teachers are people; therefore, all people drink coffee."
<G>,We think this new MallTime game app will be a success because all girls like shopping.
<G>,"I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast."
<G>,"""That new home looks great! Let's buy it!"""
<G>,"“Birds can fly; therefore, penguins can fly.”"
<G>,"Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too."
<G>,"""You shouldn't go to 'Vomito' I went once and the food was awful."" is"
<G>,"I've only read a couple pages of this book, and I've already found a typo. There's no way I'm reading the rest of this garbage."
<G>,Christine has a terrible experience with a boyfriend. She decides that all boys are mean.
<G>,We think that Malltime will be a success because all little girls like shopping.
<G>,"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters."
<G>,I met a rude person from France yesterday. I guess all French people are rude.
<G>,"“Because young male drivers are twice as likely to get into a car accident, they should pay more for car insurance.”"
<G>,"Four out of five dentists recommend Happy Glossy Smiley toothpaste brand. Therefore, it must be great."
<G>,"to define a person based on faulty opinions derived by judgments made about a group, a class, or race of people"
<G>,All dogs go to heaven.
<G>,1 = a number; 2 = a number; therefore 1 = 2.
<G>,Pre-AP kids are smart and creative.
<G>,"If you get in a car wreck, and the fault of the wreck is a teenage boy at ECR, believing all teenage boys at ECR are bad drivers is an example of:"
<G>,"There are no good restaurants in New York; I tried two in Times Square, and they were awful."
<G>,"""Everyone wants to be an English teacher."""
<G>,"My parents are democrats, and they are good people. Therefore, all democrats must be good people."
<G>,I can tell this movie is going to be terrible; the opening credits aren't even over yet!
<G>,"Trying to finish a marathon is impossible, I know because I tried it once."
<G>,"My dog got sprayed by a skunk this morning on the trail; therefore, trail running is dangerous."
<G>,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students.

What error in reasoning has Jeff made?"
<G>,A lion is a cat and cats are good pets so a lion must be a good pet.
<G>,"All of my red-headed friends are good dancers. Therefore, all red-headed people must be good dancers. 
This assumption from my experience is an example of"
<G>,"My neighbor's cat attacked me, therefore all cats are evil."
<G>,"Sometimes flu vaccines don’t work, therefore vaccines are useless."
<G>,I saw that dog eat chicken so all dogs must only eat chicken.
<G>,"Some students who attend tutoring over the summer are not very intelligent. Since Beth attended summer tutoring, she is not a very good student."
<G>,"My first day of basketball practice was easy, so it will always be easy."
<G>,He has smoked cigarettes his entire life and he doesn't have lung cancer. Therefore smoking doesn't cause lung cancer.
<G>,"""You were late tonight. You must be cheating!"""
<G>,"My sister loves shopping, so all girls must love to shop too."
<G>,Art lifts the human spirit.
<G>,Within every man's heart is the desire to be free.
<G>,You can tell that guy's Mexican - he's wearing a sombrero.
<G>,"My grandfather was a typical Irishman - friendly, outgoing, and drunk half the time."
<G>,When you have too little or unrepresentative data to make claim.
<G>,"""I asked my five closest friends and they all agree that the new Underwater Basketweaving Team Coach is a jerk, therefore I'm not trying out for the team"" IS an example of THIS fallacy."
<G>,"""The Americans I know say they elected the new president because they were tired of having their jobs sent overseas. This question of jobs brought this president into office."""
<G>,"""Guys are messy and unclean, but are really hard workers."" is an example of ..."
<G>,"Do most Americans believe in God? To find out, we asked over 10,000 scientists at colleges and universities throughout America. Less than 40 percent said they believed in God. The conclusion is obvious: Most Americans no longer believe in God."
<G>,Democrats are gay and Republicans are rich.
<G>,"Exercise is good. Therefore everybody should exercise.'
""'I agree,' said Polly earnestly. 'I mean exercise is wonderful. I mean it builds the body and everything.'"
<G>,"Everybody understands that the values in New York City are socially liberal and pro-abortion and pro-gay marriage,' he said. 'And focus on money and the media."
<G>,"It was a rainy day in Harvard Square, so the foot traffic through the atrium from Mass Ave to Mount Auburn Street was heavier than it might have been if the sun were out. A lot of people were carrying umbrellas, which most of them furled inside. I had always thought that Cambridge, in the vicinity of Harvard, might have had the most umbrellas per capita of any place in the world. People used them when it snowed. In my childhood, in Laramie, Wyoming, we used to think people who carried umbrellas were sissies."
<G>,"An environmental group illegally blocked loggers and workers at a nuclear plant. Therefore, environmentalists are radicals who take the law into their own hands."
<G>,"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each.  Therefore, Americans are very wealthy."
<G>,"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?"
<G>,"We need to stop allowing colleges to increase tuition every year. The next thing we know, it's going to cost more to attend college for one semester than it is to buy a new home!"
<G>,"You should never gamble. Once you start gambling you find it hard to stop. Soon you are spending all your money on gambling, and eventually you will turn to crime to support your earnings."
<G>,We can’t freeze the academic year because then students won’t graduate on time. Next thing you know most people will be unemployed and will resort to crime. The crime rate will skyrocket and society will collapse.
<G>,"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded."
<G>,"If we allow our 14 year-old to have her first date tonight, what's next? A wedding, kids?"
<G>,"Everyone loves Rebecca, because she is so popular."
<G>,"Jeff's mom is concerned when she finds out that he skipped class one day. She tells him that she is concerned that since he skipped one class, he will start skipping more frequently. Then he will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of his life. What type of fallacy has Jeff's mom committed?"
<G>,"""If we ban Hummers because they are bad for the environment, then eventually the government will ban all cars; therefore, we should not ban Hummers."""
<G>,"If you don't get up early every day you will be late. The more you are late the more trouble you will get into. The more trouble you get into, you will end up losing your job and your family will starve. (This is an example of...)"
<G>,If we ban cell phones because they are bad for teenagers next the government will ban all iPods and eventually all video games as well.
<G>,"If you allow the students to redo this test, they are going to want to redo every assignment for the rest of the year."
<G>,"If I don't take the right classes in high school, then I won't be able to get into a good college. If I don't get into a good college, then I won't be able to get a job. If I can't get a job, then I am going to end up homeless."
<G>,"""If we ban Hummers because they are bad for the environment eventually the government will ban all cars, so we should not ban Hummers."""
<G>,"""I failed my AP vocab test so clearly I'm going to fail the class. Then I won't get into college and will never get a job. I will have to live in my parents' basement for the rest of my life. My life is ruined"" is an example of"
<G>,the following is an example of...
<G>,"""If you don't bring a pencil to class... you will end up sad and alone in life."""
<G>,"""If you lie, than you will end up in jail."" Is an example of..."
<G>,"We have to stop the tuition increase! The next thing you know, they'll be charging $40,000 a semester!"
<G>,"""Yesterday, you were late for ten minutes. Today you were late for an hour. You know someday, you will simply cease to show up.""

What logical fallacy is used in the statement above?"
<G>,"If you don’t eat breakfast, you’ll slouch in your desk. If you slouch in your desk, you’ll hurt your back. If you hurt your back, you’ll never become President. What fallacy is being committed here?"
<G>,"If I eat this donut today, I'll probably do it again tomorrow and the next day, and then I'll never be able to eat healthy again."
<G>,If Mr. Stiedemann assigns us homework then I can't work on other assignments in my other classes. Then my teachers will get mad and cause me to get angry. Then my anger will lead to behavioral issues and I'll get suspended.
<G>,If I don't get this 5 point assignment done then I will fall behind in my grade and will get backed up so I can't get my other assignment done. Then I will fail the class and turn to a life of crime.
<G>,"""Once you leave the house, you cannot go back. You will not receive any financial support so you need to stop going to school. Your credit card will be cut so you need to work. You will live on your own."""
<G>,"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""But if you let cats go outside, then they'll hunt all the birds in the neighborhood. If you let them hunt all the birds, then robins will go extinct."""
<G>,"Don't let your cousin borrow $10.00. Next, he's going to be borrowing money from you every day."
<G>,"If we ban Hummers because they are bad for the environment eventually the government will ban all cars, so we should not ban Hummers."
<G>,"""If I raise you, I must raise everyone, and then the company goes bankrupt."""
<G>,"If you're going to add that much salt to the soup, you might as well pour the whole box in!"
<G>,one thing leads to another and another and another. . . creates a “snowball” effect.
<G>,"If you don't go to camp, you won't have fun this summer, and your whole summer will be ruined!"
<G>,"Colin Closet asserts that if we allow same-sex couples to marry, then the next thing we know we'll be allowing people to marry their parents, their cars and even monkeys."
<G>,"Animal experimentation reduces our respect for life. If we don't respect life, we are likely to be more and more tolerant of violent acts like war and murder. Soon our society will become a battlefield in which everyone constantly fears for their lives. It will be the end of civilization."
<G>,"Your honor, if we let Pinocchio get away with lying, what's next? Stealing? Murder? ..."
<G>,"If we use one more can of hairspray this month, the ozone layer will not exist, and we will not exist!"
<G>,"""If you give a mouse a cookie, he'll want a glass of milk to go with it"" is a book built around THIS fallacy."
<G>,"Trump presents a dark image of America if Clinton is elected, with “Syrian refugees flooding in, illegal immigrants convicted of crimes staying.”"
<G>,"We cannot unlock our child from the closet because if we do, she will want to roam the house.  If we let her roam the house, she will want to roam the neighborhood.  If she roams the neighborhood, she will get picked up by a stranger in a van, who will sell her in a sex slavery ring in some other country.  Therefore, we should keep her locked up in the closet."
<G>,"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one. Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning."
<G>,"If we legalize marijuana, then more people will try heroin"
<G>,If I make an exception for you then I'll have to make an exception for everyone
<G>,"Running in the halls at school is against the rules. Therefore, the indoor track team should be written up."
<G>,"His house is about half the size of most houses in the neighborhood. Therefore, his doors must all be about 3 1/2 feet high."
<G>,"Don't use iPhones. Teachers use iPhones and teachers are extremely dorky. If you use an iPhone, you will be dorky like a teacher!"
<G>,"""Tyler's friends are all obnoxious, he's a bad kid,"" Which Fallacy does this statement use?"
<G>,"Paige wants to play a guitar solo on our next recording. Her father is a horrible musician, though, so I doubt that Paula's any good either."
<G>,"A car makes less pollution than a bus. Therefore, cars are less of a pollution problem than buses"
<G>,"Each brick in that building weighs less than a pound.  Therefore, the building weighs less than a pound.Example #2:
Hydrogen is not wet.  Oxygen is not wet.  Therefore, water (H2O) is not wet.
"
<G>,"Men score better on math than women do. Jerry is a man. Therefore, Jerry is better at math than Sylvia, who is a woman."
<G>,"While jogging around the neighborhood, you are more likely to get bitten by someone’s pet dog, than by any member of the canine species."
<G>,Broccoli has significantly less fat than the leading candy bar!
<G>,"Religion may have been wrong about a few things, but science has been wrong about many more things!"
<G>,President Petutti ordered a military strike that killed many civilians. He is no different than any other mass murder and he belongs in prison!
<G>,The numbers on gun violence speak for themselves. We should ban guns in the country!
<WCB>,Children who play violent video games act more violently than those who don’t.
<WCB>,Eighty-five percent of those surveyed said that it is important to have a cell phone.
<WCB>,"“Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.”
What fallacy is this an example of?"
<WCB>,"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw."
<WCB>,I'm moving to Connecticut because it is the richest state in the nation and I'm tired of being poor.
<WCB>,"I wore my lucky red shirt when I took the test, so that is probably why I did so well on the test."
<WCB>,"“The rooster crows always before the sun rises, therefore the crowing rooster causes the sun to rise.”"
<WCB>,“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “
<WCB>,"I saw John texting yesterday, and then he got in his car and drove away; he must have crashed because he was texting. Therefore, cell phones should be banned."
<WCB>,"""The dinosaurs became extinct because they ate vegetables..."" is an example of what?"
<WCB>,"“Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.”"
<WCB>,"“Since event Y followed event X, event Y must have been caused by event X”. What fallacy is described in this logical form?"
<WCB>,"Since Lucy Sutton became vice president of the parent-teacher association, student performance has declined and teacher morale is down. We on the school board believe that Sutton bears sole responsibility for the downtrend."
<WCB>,"The economy continues to grow as the number of “likes” on my Instagram account continue to increase. Clearly, the two are linked."
<WCB>,My grandmother ate 10 cloves of raw garlic every day. Not surprisingly she lived to be 102.
<WCB>,Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.
<WCB>,"Alley ate a slice of pizza for dinner and a few hours later she had a fever. Therefore, pizza causes fevers."
<WCB>,"Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something."
<WCB>,"The temperature has dropped this morning, and I also have a headache. The cold weather must be causing my headache."
<WCB>,"If the President arrives in Hawaii, and the next day a volcano erupts, believing that the volcano erupted because the President arrived on the island is an example of:"
<WCB>,"""Everytime I wash my car it rains; therefore, washing my car makes it rain."""
<WCB>,"Water fluoridation affects the brain. Citywide, student’s test scores began to drop five months after fluoridation began."
<WCB>,If the country is ever going to be safe from terrorists we have to close the borders.
<WCB>,"1. All the schools in the area had to kept closed for most part of the week.
2. Many parents have withdrawn their children from the local schools."
<WCB>,"""In March, 5G was introduced and then we all got COVID"" is an example of"
<WCB>,"I ate Oreos, and then I was sick the next day. It must have been the Oreos that caused my sickness."
<WCB>,"""A baseball pitcher bought new socks before he pitched a winning game. The new socks caused a pitcher to throw faster! He will wear the new socks for EVERY game now.""

This is an example of..."
<WCB>,blame opponent's policy for the country's problems
<WCB>,"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world.  therefore, it's reasonable to conclude that chocolate helps keep your weight down."
<WCB>,"Jason and his family are heading to Utah to spend a week skiing. Looking at the weather reports, he notices that it is supposed to be warmer, making for lousy ski conditions. Angrily, he calls the Weather Channel and demands that they change their forecast so he will have better weather for the trip."
<WCB>,"""It rained and then we lost the game. Every time it rains, we're going to lose."""
<WCB>,"Lois and Jan did a ""snow dance"" one afternoon, and it snowed that night. They claimed to have brought the snow."
<WCB>,Fatima sneezed and she caused a tsunami in Tokyo.
<WCB>,Jack threw up because he ate Hot Cheetos.
<WCB>,"One day, Megan wore a Donald Duck t-shirt, and she got an ¨A¨ on her Chemistry test. Now she wears a Donald Duck t-shirt every day to Chemistry class. 
Of what fallacy is this an example?"
<WCB>,"Fewer tourists were recorded to have entered the country. This datum was gathered after Karapatan exposed the human rights violations happening here; therefore, Karapatan's expose was the reason for the low tourist turn out."
<WCB>,"At soccer practice, Willeidy tells Aida, ""Pace's soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!"""
<WCB>,"President Jones raised taxes, and then the rate of violent crime went up. Jones is responsible for the rise in crime."
<WCB>,"Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world. Therefore, it is reasonable to conclude that chocolate helps keep your weight down."
<WCB>,"Matthieu was the only player on the team who didn't grow a playoff beard, and thus he ended up getting injured."
<WCB>,Valencia bought a different brand of detergent at the store. She developed a rash after wearing clothes washed in the new detergent. She concluded that she was allergic to the new soap. What type of reasoning is this?
<WCB>,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!"
<WCB>,"Every sunrise, the rooster makes a sound. So it is the rooster which makes the sun rise."
<WCB>,Which type of logical fallacy is used when a writer incorrectly states that one event has caused another?
<WCB>,"Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don’t expect to live a long life."
<WCB>,"Dan White ate a lot of Twinkies and then killed the Mayor of San Francisco. If I were a mayor, I’d ban Twinkies so no one would kill me."
<WCB>,"Since your parents named you ‘Harvest,’ they must be farmers."
<WCB>,"Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers."
<WCB>,"My new sport psychology intervention works! I chose the player with the lowest batting average based on the last game from each of the teams in our amateur baseball league. Then I gave each of them my 5-minute intervention. And almost all of them improved their batting average in the next game!"" (Note: this example may also involve the statistical phenomenon of regression to the mean."
<WCB>,"It was observed that persons who went out at night often developed the malady. So night air was assumed to be the cause of malaria, and elaborate precautions were taken to shut it out of sleeping quarters"
<WCB>,"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America’s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'"
<WCB>,"Before women got the vote, there were no nuclear weapons"
<WCB>,"The bigger a child's shoe size, the better the child's handwriting"
<WCB>,The accident was caused by the taxi parking in the street
<WCB>,"P1. Lead poisoning can contribute to violent behavior.
P2. Many inner city children have dangerous levels of lead in their blood.
C. Therefore, violent crime in the inner city can be solved by curing the lead problem."
<WCB>,"Jen: Don’t you realize that all this drinking you are doing is making your family miserable?
Bridget: Yes, I do.
Jen: Then what are you doing about it?
Bridget: Drinking to forget.
"
<WCB>,"“The temperature has dropped this morning, and I also have a headache. Therefore, the cold weather must be causing my headache. “"
<WCB>," The best example of this fallacy is presented by the person who coined this term, Nassim Nicholas Taleb in his 2007 book, The Black Swan.  There are two people"
<WCB>,"Lolita: Since about half the people in the world are female, the chances of the next person to walk out that door being female is about 50/50.
Celina: Do you realize that is the door to Dr. Vulvastein, the gynecologist?
"
<WCB>,"Eric: For my lottery numbers, I chose 6, 14, 22, 35, 38, 40.  What did you choose?
Steve: I chose 1, 2, 3, 4, 5, 6.
Eric: You idiot!  Those numbers will never come up!
"
<WCB>,"Maury: Please put all my chips on red 21.
Dealer: Are you sure you want to do that?  Red 21 just came up in the last spin.
Maury:  I didn’t know that!  Thank you!  Put it on black 15 instead.  I can’t believe I almost made that mistake!
"
<WCB>,"""If a black cat crosses your path you will have bad luck."""
<RR>,The red bicycle is red.
<RR>,"She is good at writing because she writes words effectively."""
<RR>,"""Ghosts exist.... because I saw a ghost in my closet,"" is an example of what logical fallacy?"
<RR>,"Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history."
<RR>,"""When my parents talk to me about how important it is to learn a second language, I remind them they didn't learn another language."
<RR>,Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.
<RR>,Companies that make huge profits must be exploiting their customers because the only way a company could make large profits is by taking advantage of their customers.
<RR>,This is an example of....
<RR>,"""I have a right to free speech so I can say what I want and you shouldn't try to stop me. """
<RR>,President Reagan was a great communicator because he had the gift of talking effectively to the people.
<RR>,"""I shouldn't have flunked the test because I never get F's"" is an example of"
<RR>,We know he’s not lying since he says he’s telling the truth.
<RR>,"Claim: You can't give me a C in this course...
Reason: ... Because I am an A student.
Warrant: An A student is someone who can't receive Cs."
<RR>,"""You must obey the law, because it's illegal to break the law.""

What logical fallacy is used in the statement above?"
<RR>,The greatest thing that we can do is to love each other. Love is better than any other emotion.
<RR>,"Thanks to her enduring popularity with employees, Sophia Lloyd is the best-liked CEO in our company's history."
<RR>,This has to work so it will work.
<RR>,"""I stay away from those gatherings because I don't want to be brainwashed."""
<RR>,"God did not create the world six thousand years ago because matter has always existed, and therefore the world has always existed."
<RR>,"Whatever is less dense than water will float, because such objects won't sink in water."
<RR>,"""He's the best teacher I've ever had because he's the best teacher I've known."""
<RR>,"""You can't give me a D because I'm an A student!"""
<RR>,Richardson is the most successful mayor the town has ever had because he's the best mayor of our history.
<RR>,We know the virus started in a lab because it's too deadly to have just been the result of basic circumstance. But it hasn't been as deadly for China which proves that it's lab-made. Because it's deadly.
<RR>,"""Standardized dress should be used in schools because kids should wear standardized dress."""
<RR>,"The Bible is the Word of God because God tells us it is... in the Bible.

X is true because of Y.
Y is true because of X."
<RR>,"""The Cardinals are the best football team because they're better than all the other teams. They're better than all the other teams because they're the best."""
<RR>,"""Once a year, a miracle causes this large rock to float about ten centimeters off the ground since supernatural powers want us to remember the martyrs who died in that spot."""
<RR>,“You can’t give me a C. I’m an A student!”
<RR>,“Honesty is defined as always being honest.”
<RR>,"All useless laws, such as Reform Bill 13, should be repealed."
<RR>,There aren't enough parking spaces on campus because there are too many cars.
<RR>,Has your psychology department stopped teaching that ineffective approach to therapy yet?
<RR>,It must be acknowledged that [whatever psychological test battery I use] is the only legitimate test battery.
<RR>,Being overweight leads to a shortened lifespan because it's unhealthy.
<RR>,"Only a mentally ill person would kill someone, so anyone who kills someone is automatically mentally ill."
<RR>,"You should drive on the right side of the road because that is what the law says, and the law is the law."
<RR>,"It says in the Bible that God exists. Since the Bible is God's word, and God never speaks falsely, then everything in the Bible must be true. So, God must exist."
<RR>,"We know God exists because we can see the perfect order of His Creation, an order which demonstrates supernatural intelligence in its design."
<RR>,"Murder is morally wrong. Therefore, abortion is morally wrong."
<RR>,The reason billions of children starve to death each year is because we live in a world that does not care.
<RR>,"The reason everyone wants the new ""Slap Me Silly Elmo"" doll is because this is the hottest toy of the season!"
<RR>,Tik Tok is popular among teens because so many of them use it.
<RR>,"Mr. Casal got sick last week, so it was likely due to the students."
<FU>,"the phrase ""Ninety percent of all people surveyed said that McDonalds is better than Burger King so it must be true.""  represents which fallacy?"
<FU>,"""Because everybody thinks this way, it must be right."""
<FU>,"Everyone seems to support the changes in the vacation policy, and if everyone likes them, they must be
good."
<FU>,"I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one, and I want her to fit in with the other kids."
